OBJECTID,SampleID,Ename,ID_Number,Peviously_Marked,Marked_mussel,Status,Sex,Gravidity,Age,Length,Height,VoucherLocation,VoucherType,ZebrasAttached,Comments,Northing,Easting,Method,NumberLive,NUM5YEAR,NumZebrasAttached1,PerZebraCoverage1,Listed_old,Tolerant_old,Lampsilini_old,Juveniles_old,Over_15yrs_old,tribe_old
59,201009221406.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743663.993699999526143,655353.021599999628961,Quantitative,0,0,,,0,1,0,0,0,Amblemini
60,201009221406.000000000000000,Obliquaria reflexa,,No,No,Weathered Dead,,,,,,,,,,4743663.993699999526143,655353.021599999628961,Quantitative,0,0,,,0,1,1,0,0,Lampsilini
61,201009221406.000000000000000,Pyganodon grandis,,No,No,Sub-Fossil,,,,,,,,,,4743663.993699999526143,655353.021599999628961,Quantitative,0,0,,,0,0,0,0,0,Anodontini
62,201009221406.000000000000000,Toxolasma parvus,,No,No,Sub-Fossil,,,,,,,,,,4743663.993699999526143,655353.021599999628961,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
63,201009221407.000000000000000,Quadrula nodulata,,No,No,Live,,,11,52,,,,No,,4743665.005699999630451,655375.987499999813735,Quantitative,1,0,0,0,0,0,0,0,0,Quadrulini
64,201009221407.000000000000000,Amblema plicata,,No,No,Sub-Fossil,,,,,,,,,,4743665.005699999630451,655375.987499999813735,Quantitative,0,0,,,0,1,0,0,0,Amblemini
65,201009221407.000000000000000,Megalonaias nervosa,,No,No,Sub-Fossil,,,,,,,,,,4743665.005699999630451,655375.987499999813735,Quantitative,0,0,,,0,0,0,0,0,Quadrulini
66,201009221409.000000000000000,Amblema plicata,,No,No,Live,,,13,75,,,,No,,4743681.974899999797344,655373.014999999664724,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
67,201009221409.000000000000000,Obliquaria reflexa,,No,No,Live,,,8,49,,,,No,,4743681.974899999797344,655373.014999999664724,Quantitative,1,0,0,0,0,1,1,0,0,Lampsilini
68,201009221409.000000000000000,Pleurobema sintoxia,,No,No,Weathered Dead,,,,,,,,,,4743681.974899999797344,655373.014999999664724,Quantitative,0,0,,,0,0,0,0,0,Pleurobemini
69,201009221409.000000000000000,Lampsilis siliquoidea,,No,No,Weathered Dead,,,,,,,,,,4743681.974899999797344,655373.014999999664724,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
70,201009221409.000000000000000,Lampsilis cardium,,No,No,Weathered Dead,,,,,,,,,,4743681.974899999797344,655373.014999999664724,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
71,201009221409.000000000000000,Lasmigona complanata complanata,,No,No,Weathered Dead,,,,,,,,,,4743681.974899999797344,655373.014999999664724,Quantitative,0,0,,,0,0,0,0,0,Anodontini
72,201009221410.000000000000000,Amblema plicata,,No,No,Live,,,15,85,,,,No,,4743695.028400000184774,655336.011300000362098,Quantitative,1,0,0,0,0,1,0,0,1,Amblemini
73,201009221410.000000000000000,Amblema plicata,,No,No,Live,,,15,86,,,,No,,4743695.028400000184774,655336.011300000362098,Quantitative,1,0,0,0,0,1,0,0,1,Amblemini
74,201009221410.000000000000000,Ligumia recta,,No,No,Live,Male,,9,110,,,,No,,4743695.028400000184774,655336.011300000362098,Quantitative,1,0,0,0,1,0,1,0,0,Lampsilini
75,201009221410.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743695.028400000184774,655336.011300000362098,Quantitative,0,0,,,0,1,0,0,0,Amblemini
76,201009221410.000000000000000,Truncilla truncata,,No,No,Weathered Dead,,,,,,,,,,4743695.028400000184774,655336.011300000362098,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
77,201009221410.000000000000000,Fusconaia ebena,,No,No,Weathered Dead,,,,,,,,,,4743695.028400000184774,655336.011300000362098,Quantitative,0,0,,,1,0,0,0,0,Pleurobemini
78,201009221410.000000000000000,Elliptio dilatata,,No,No,Weathered Dead,,,,,,,,,,4743695.028400000184774,655336.011300000362098,Quantitative,0,0,,,0,0,0,0,0,Pleurobemini
79,201009221411.000000000000000,Actinonaias ligamentina,,No,No,Weathered Dead,,,,,,,,,,4743672.980399999767542,655330.011900000274181,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
80,201009221411.000000000000000,Pleurobema sintoxia,,No,No,Weathered Dead,,,,,,,,,,4743672.980399999767542,655330.011900000274181,Quantitative,0,0,,,0,0,0,0,0,Pleurobemini
81,201009221411.000000000000000,Obliquaria reflexa,,No,No,Weathered Dead,,,,,,,,,,4743672.980399999767542,655330.011900000274181,Quantitative,0,0,,,0,1,1,0,0,Lampsilini
82,201009221412.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743677.025900000706315,655326.013500000350177,Quantitative,0,0,,,0,1,0,0,0,Amblemini
83,201009221414.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743713.995500000193715,655344.987900000065565,Quantitative,0,0,,,0,1,0,0,0,Amblemini
84,201009221414.000000000000000,Pyganodon grandis,,No,No,Weathered Dead,,,,,,,,,,4743713.995500000193715,655344.987900000065565,Quantitative,0,0,,,0,0,0,0,0,Anodontini
85,201009221420.000000000000000,Quadrula quadrula,,No,No,Live,,,16,67,,,,No,,4743736.999500000849366,655366.003600000403821,Quantitative,1,0,0,0,0,1,0,0,1,Quadrulini
86,201009221420.000000000000000,Amblema plicata,,No,No,Live,,,15,85,,,,No,,4743736.999500000849366,655366.003600000403821,Quantitative,1,0,0,0,0,1,0,0,1,Amblemini
87,201009221420.000000000000000,Amblema plicata,,No,No,Live,,,10,73,,,,No,,4743736.999500000849366,655366.003600000403821,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
88,201009221420.000000000000000,Amblema plicata,,No,No,Live,,,13,84,,,,No,,4743736.999500000849366,655366.003600000403821,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
89,201009221420.000000000000000,Amblema plicata,,No,No,Live,,,17,90,,,,No,,4743736.999500000849366,655366.003600000403821,Quantitative,1,0,0,0,0,1,0,0,1,Amblemini
90,201009221420.000000000000000,Amblema plicata,,No,No,Live,,,18,96,,,,No,,4743736.999500000849366,655366.003600000403821,Quantitative,1,0,0,0,0,1,0,0,1,Amblemini
91,201009221420.000000000000000,Obliquaria reflexa,,No,No,Live,,,7,38,,,,No,,4743736.999500000849366,655366.003600000403821,Quantitative,1,0,0,0,0,1,1,0,0,Lampsilini
92,201009221420.000000000000000,Obliquaria reflexa,,No,No,Live,,,7,39,,,,No,,4743736.999500000849366,655366.003600000403821,Quantitative,1,0,0,0,0,1,1,0,0,Lampsilini
93,201009221420.000000000000000,Quadrula pustulosa pustulosa,,No,No,Live,,,13,58,,,,No,,4743736.999500000849366,655366.003600000403821,Quantitative,1,0,0,0,0,0,0,0,0,Quadrulini
94,201009221420.000000000000000,Fusconaia flava,,No,No,Live,,,14,58,,,,No,,4743736.999500000849366,655366.003600000403821,Quantitative,1,0,0,0,0,0,0,0,0,Pleurobemini
95,201009221420.000000000000000,Quadrula quadrula,,No,No,Weathered Dead,,,,,,,,,,4743736.999500000849366,655366.003600000403821,Quantitative,0,0,,,0,1,0,0,0,Quadrulini
96,201009221420.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743736.999500000849366,655366.003600000403821,Quantitative,0,0,,,0,1,0,0,0,Amblemini
97,201009221420.000000000000000,Leptodea fragilis,,No,No,Sub-Fossil,,,,,,,,,,4743736.999500000849366,655366.003600000403821,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
98,201009221420.000000000000000,Potamilus alatus,,No,No,Sub-Fossil,,,,,,,,,,4743736.999500000849366,655366.003600000403821,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
99,201009221420.000000000000000,Ligumia recta,,No,No,Weathered Dead,,,,,,,,,,4743736.999500000849366,655366.003600000403821,Quantitative,0,0,,,1,0,1,0,0,Lampsilini
100,201009221423.000000000000000,Ligumia recta,,No,No,Live,Female,,10,123,,,,No,,4743767.991299999877810,655368.984299999661744,Quantitative,1,0,0,0,1,0,1,0,0,Lampsilini
101,201009221423.000000000000000,Amblema plicata,,No,No,Sub-Fossil,,,,,,,,,,4743767.991299999877810,655368.984299999661744,Quantitative,0,0,,,0,1,0,0,0,Amblemini
102,201009221423.000000000000000,Potamilus alatus,,No,No,Sub-Fossil,,,,,,,,,,4743767.991299999877810,655368.984299999661744,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
103,201009221429.000000000000000,Amblema plicata,,No,No,Live,,,11,72,,,,No,,4743793.985099999234080,655382.981200000271201,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
104,201009221429.000000000000000,Potamilus alatus,,No,No,Live,,,8,99,,,,No,,4743793.985099999234080,655382.981200000271201,Quantitative,1,0,0,0,0,0,1,0,0,Lampsilini
105,201009221429.000000000000000,Amblema plicata,,No,No,Sub-Fossil,,,,,,,,,,4743793.985099999234080,655382.981200000271201,Quantitative,0,0,,,0,1,0,0,0,Amblemini
106,201009221430.000000000000000,Amblema plicata,,No,No,Weathered Dead,,,,,,,,,,4743795.992300000041723,655367.989000000059605,Quantitative,0,0,,,0,1,0,0,0,Amblemini
107,201009221430.000000000000000,Obliquaria reflexa,,No,No,Fresh Dead,,,,,,,,,,4743795.992300000041723,655367.989000000059605,Quantitative,0,0,,,0,1,1,0,0,Lampsilini
108,201009221430.000000000000000,Lampsilis siliquoidea,,No,No,Sub-Fossil,,,,,,,,,,4743795.992300000041723,655367.989000000059605,Quantitative,0,0,,,0,0,1,0,0,Lampsilini
109,201009221430.000000000000000,Ligumia recta,,No,No,Weathered Dead,,,,,,,,,,4743795.992300000041723,655367.989000000059605,Quantitative,0,0,,,1,0,1,0,0,Lampsilini
110,201009221431.000000000000000,Amblema plicata,,No,No,Live,,,13,83,,,,No,,4743812.978199999779463,655363.017199999652803,Quantitative,1,0,0,0,0,1,0,0,0,Amblemini
